Hour,Minute:Second,DeviceId,EventId,Parameter
07,27:14,613,44,8
07,27:14,613,43,4
07,27:14,613,43,8
07,27:18,613,44,4
07,27:18,613,44,8
07,27:18,613,43,5
07,27:20,613,43,4
07,27:20,613,43,8
07,27:21,613,7,4
07,27:21,613,7,8
07,27:21,613,8,4
07,27:21,613,8,8
07,27:21,613,62,6
07,27:21,613,6,4
07,27:21,613,6,8
07,27:21,613,63,6
07,27:22,613,44,4
07,27:22,613,44,8
07,27:25,613,10,4
07,27:25,613,10,8
07,27:25,613,11,4
07,27:25,613,11,8
07,27:25,613,9,4
07,27:25,613,9,8
07,27:25,613,12,8
07,27:25,613,64,6
07,27:27,613,0,2
07,27:27,613,0,6
07,27:27,613,1,2
07,27:27,613,1,6
07,27:27,613,12,4
07,27:27,613,31,2
07,27:27,613,61,5
07,27:27,613,65,6
07,27:27,613,21,2
07,27:27,613,21,6
07,27:27,613,46,3
07,27:27,613,46,4
07,27:27,613,46,7
07,27:27,613,46,8
07,27:27,613,48,3
07,27:27,613,48,7
07,27:40,613,43,1
07,27:42,613,43,3
07,27:42,613,43,8
07,27:50,613,2,1
07,27:50,613,2,5
07,27:50,613,22,2
07,27:50,613,22,6
07,27:50,613,47,1
07,27:50,613,47,5
07,27:50,613,49,1
07,27:50,613,49,5
07,27:53,613,43,4
07,27:53,613,43,7
07,28:07,613,2,5
07,28:07,613,44,1
07,28:07,613,44,6
07,28:11,613,43,6
07,28:13,613,2,1
07,28:13,613,2,5
07,28:13,613,43,1
07,28:15,613,23,2
07,28:15,613,23,6
07,28:15,613,3,2
07,28:15,613,3,6
07,28:17,613,7,2
07,28:17,613,7,6
07,28:17,613,8,2
07,28:17,613,8,6
07,28:17,613,6,2
07,28:17,613,6,6
07,28:17,613,2,1
07,28:17,613,2,3
07,28:17,613,2,4
07,28:17,613,2,5
07,28:17,613,2,7
07,28:17,613,2,8
07,28:17,613,47,3
07,28:17,613,47,4
07,28:17,613,47,7
07,28:17,613,47,8
07,28:17,613,49,3
07,28:17,613,49,4
07,28:17,613,49,7
07,28:17,613,49,8
07,28:19,613,2,1
07,28:19,613,2,3
07,28:19,613,2,4
07,28:19,613,2,7
07,28:19,613,2,8
07,28:19,613,44,5
07,28:19,613,2,3
07,28:19,613,2,4
07,28:19,613,2,7
07,28:19,613,2,8
07,28:19,613,44,1
07,28:21,613,0,1
07,28:21,613,0,5
07,28:21,613,10,2
07,28:21,613,10,6
07,28:21,613,11,2
07,28:21,613,11,6
07,28:21,613,1,1
07,28:21,613,1,5
07,28:21,613,9,2
07,28:21,613,9,6
07,28:21,613,2,2
07,28:21,613,2,3
07,28:21,613,2,4
07,28:21,613,2,6
07,28:21,613,2,7
07,28:21,613,2,8
07,28:21,613,12,6
07,28:21,613,31,3
07,28:23,613,7,1
07,28:23,613,7,5
07,28:23,613,8,1
07,28:23,613,8,5
07,28:23,613,63,5
07,28:23,613,4,1
07,28:23,613,4,5
07,28:23,613,3,1
07,28:23,613,3,5
07,28:26,613,10,1
07,28:26,613,10,5
07,28:26,613,9,1
07,28:26,613,9,5
07,28:26,613,12,2
07,28:26,613,64,5
07,28:28,613,0,4
07,28:28,613,0,8
07,28:28,613,11,1
07,28:28,613,11,5
07,28:28,613,1,4
07,28:28,613,1,8
